playerid,version_date,name,age,team,drc_warp,drc_plus,drc_sd,drc_raa,brr,fraa,g,pa,ab,r,h,b1,b2,b3,hr,rbi,sb,cs,bb,so,hbp,tb,avg,obp,slg,ops,iso,babip,salary
964,36800,Miguel Tejada,26,OAK,5,113,8,16.8,3.7,2.3,160,681,607,105,167,104,32,1,30,115,6,0,66,102,4,291,0.275,0.349,0.479,0.828,0.204,0.287,290000
1310,36800,Johnny Damon,26,KCA,5,115,8,19.4,11.2,3.1,159,741,655,136,214,146,42,10,16,88,46,9,65,60,1,324,0.327,0.382,0.495,0.877,0.168,0.335,4000000
1015,36800,Shannon Stewart,26,TOR,4.8,115,9,17.1,3,15.9,136,631,583,107,186,117,43,5,21,69,20,5,37,79,6,302,0.319,0.363,0.518,0.882,0.199,0.339,683333
1342,36800,Manny Ramirez,28,CLE,4.7,178,9,60.7,-2.8,-16.7,118,532,439,92,154,80,34,2,38,122,1,1,86,117,3,306,0.351,0.457,0.697,1.154,0.346,0.403,4350000
905,36800,Tim Salmon,31,ANA,4.7,136,10,37.6,-6.5,7.5,158,680,568,108,165,93,36,2,34,97,0,2,104,139,6,307,0.29,0.404,0.54,0.945,0.25,0.33,6000000
1602,36800,Jorge Posada,28,NYA,4.7,134,10,33.2,-6.3,-6.6,151,624,505,92,145,81,35,1,28,86,2,2,107,151,8,266,0.287,0.417,0.527,0.943,0.24,0.355,1250000
297,36800,Luis Gonzalez,32,ARI,4.6,129,8,33.5,-0.5,-0.8,162,722,618,106,192,112,47,2,31,114,2,4,78,85,12,336,0.311,0.392,0.544,0.935,0.233,0.313,#N/A
926,36800,Jermaine Dye,26,KCA,4.5,130,8,32.5,0.9,1.9,157,679,601,107,193,117,41,2,33,118,0,1,69,99,3,337,0.321,0.39,0.561,0.951,0.24,0.337,2300000
139,36800,Geoff Jenkins,25,MIL,4.4,127,11,24.2,-1.2,10.8,135,564,512,100,155,81,36,4,34,94,11,1,33,135,15,301,0.303,0.36,0.588,0.948,0.285,0.349,282000
296,36800,Steve Finley,35,ARI,4.3,124,10,24.7,4.3,-4.1,152,623,539,100,151,84,27,5,35,96,12,6,65,87,8,293,0.28,0.361,0.544,0.904,0.263,0.272,5375000
207,36800,Scott Rolen,25,PHI,4.3,125,8,21.8,2.1,2.8,128,541,483,88,144,80,32,6,26,89,8,1,51,99,5,266,0.298,0.37,0.551,0.92,0.253,0.328,2750000
1142,36800,Mike Cameron,27,SEA,4.3,108,10,11,4.1,8.5,155,643,543,96,145,94,28,4,19,78,24,7,78,133,9,238,0.267,0.365,0.438,0.803,0.171,0.317,2225000
636,36800,Phil Nevin,29,SDN,4.2,124,10,24.1,-1.4,0.9,143,605,538,87,163,97,34,1,31,107,2,0,59,121,4,292,0.303,0.374,0.543,0.916,0.24,0.338,875000
